Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
SBIN,EQ,16-Oct-19,258.45,259.3,261.95,255,255.95,256.05,258.26,30892295,7978237659,208840
SBIN,EQ,17-Oct-19,256.05,256.4,266,255.6,265.3,265.45,261.38,37061013,9686892846,252073
SBIN,EQ,18-Oct-19,265.45,264.4,271.35,263.2,269.2,269.65,268.5,33203721,8915263048,203094
SBIN,EQ,22-Oct-19,269.65,270.4,275,268.5,270.35,270.5,272.33,27574295,7509443391,187557
SBIN,EQ,23-Oct-19,270.5,270.75,277.8,268.65,275.35,275.45,274.85,31789622,8737276546,209460
SBIN,EQ,24-Oct-19,275.45,276,277.65,248.65,263.05,262.5,266.02,63943183,17009984319,434945
SBIN,EQ,25-Oct-19,262.5,265.8,284.15,263.55,282.35,281.55,276.42,105518180,29166864834,598440
SBIN,EQ,27-Oct-19,281.55,284.95,284.95,280.25,281.3,281.8,282.94,12185529,3447723849,98481
SBIN,EQ,29-Oct-19,281.8,283.15,285,278.55,280.8,280.65,282.21,51033578,14402275121,272560
SBIN,EQ,30-Oct-19,280.65,283,291,279.25,290.4,289.9,286.86,51469048,14764266108,306035
SBIN,EQ,31-Oct-19,289.9,293.35,317.8,292.75,312.5,312.4,307.08,128449327,39443633461,656753
SBIN,EQ,01-Nov-19,312.4,312.4,315,308.6,313.6,313.55,312.59,44894016,14033199011,306655
SBIN,EQ,04-Nov-19,313.55,316,319,312.35,314,314.3,315.6,31535656,9952586227,222448
SBIN,EQ,05-Nov-19,314.3,313.9,322,312.8,319,319.2,318.8,50080853,15965706969,324664
SBIN,EQ,06-Nov-19,319.2,318.95,318.95,314,317.5,317.55,316.95,32157080,10192265347,201117
SBIN,EQ,07-Nov-19,317.55,318.25,323.3,316.8,318.05,318.15,319.56,33926772,10841795640,232988
SBIN,EQ,08-Nov-19,318.15,316.2,321,314.5,316.35,316,317.47,25423362,8071058813,175265
SBIN,EQ,11-Nov-19,316,314.7,319.65,313.1,318.85,318.25,316.64,20491942,6488611926,173967
